"Date","Marketplace","ASIN","SKU","Name","SalesOrganic","SalesPPC","SalesSponsoredProducts","SalesSponsoredDisplay","UnitsOrganic","UnitsPPC","UnitsSponsoredProducts","UnitsSponsoredDisplay","Refunds","PromoValue","SponsoredProducts","SponsoredDisplay","SponsoredВrands","SponsoredBrandsVideo","Google ads","Facebook ads","GiftWrap","Shipping","Refund Commission","Refund DigitalServicesFee","Refund FBACustomerReturnPerUnitFee","Refund GoodwillPrincipal","Refund Principal","Refund Promotion","Refund RefundCommission","Refund ShippingCharge","Refund ShippingChargeback","Refund ShippingTax","Refund ShippingTaxDiscount","Refund ShipPromotion","Refund TaxDiscount","RefundsCostsDamaged","Value of returned items","ProductCost Unsellable Refunds","Commission","COMPENSATED_CLAWBACK","DigitalServicesFee","FBADisposalFee","FBAPerUnitFulfillmentFee","FBAStorageFee","MISSING_FROM_INBOUND","MISSING_FROM_INBOUND_CLAWBACK","REVERSAL_REIMBURSEMENT","EstimatedPayout","ProductCost Sales","ProductCost Non-Amazon","ProductCost MultichannelCosts","ProductCost MissingFromInbound","ProductCost CostOfMissingReturns","VAT","GrossProfit","NetProfit","Margin","Real ACOS","Sessions","Unit Session Percentage","Ads spend","Sellable Returns %","ROI"
"07/10/2025","Amazon.com.be","B0C745GZ55","LC-NP-NUDE","Lillypads® Premium Nippelpads – DAS ORIGINAL – Selbstklebende Nipple Cover für Frauen – Wiederverwendbare Nipple Pads – 8cm – Klebe BH – Für Tiefen Rückenausschnitt – Nude","0.00","0.00","0.00","0.00","0","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-0.23","0.00","0.00","0.00","-0.23","0.00","0.00","0.00","0.00","0.00","0.00","-0.23","-0.23","0.00","0.00","1","0.00","0.00","0.00","0.00"
"07/10/2025","Amazon.co.uk","B0C745GZ55","LC-NP-NUDE","Lillypads® Premium Nippelpads – DAS ORIGINAL – Selbstklebende Nipple Cover für Frauen – Wiederverwendbare Nipple Pads – 8cm – Klebe BH – Für Tiefen Rückenausschnitt – Nude","0.00","0.00","0.00","0.00","0","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-0.18","0.00","0.00","0.00","-0.18","0.00","0.00","0.00","0.00","0.00","0.00","-0.18","-0.18","0.00","0.00","0","0.00","0.00","0.00","0.00"
"07/10/2025","Amazon.es","B0C745GZ55","LC-NP-NUDE","Lillypads® Premium Nippelpads – DAS ORIGINAL – Selbstklebende Nipple Cover für Frauen – Wiederverwendbare Nipple Pads – 8cm – Klebe BH – Für Tiefen Rückenausschnitt – Nude","0.00","0.00","0.00","0.00","0","0","0","0","0","0.00","-0.73","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-0.13","0.00","0.00","0.00","-0.86","0.00","0.00","0.00","0.00","0.00","0.00","-0.86","-0.86","0.00","0.00","4","0.00","-0.73","0.00","0.00"
"07/10/2025","Amazon.fr","B0C745GZ55","LC-NP-NUDE","Lillypads® Premium Nippelpads – DAS ORIGINAL – Selbstklebende Nipple Cover für Frauen – Wiederverwendbare Nipple Pads – 8cm – Klebe BH – Für Tiefen Rückenausschnitt – Nude","0.00","0.00","0.00","0.00","0","0","0","0","0","0.00","-16.66","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-2.54","0.00","0.00","0.00","-19.20","0.00","0.00","0.00","0.00","0.00","0.00","-19.20","-19.20","0.00","0.00","25","0.00","-16.66","0.00","0.00"
"07/10/2025","Amazon.nl","B0C745GZ55","LC-NP-NUDE","Lillypads® Premium Nippelpads – DAS ORIGINAL – Selbstklebende Nipple Cover für Frauen – Wiederverwendbare Nipple Pads – 8cm – Klebe BH – Für Tiefen Rückenausschnitt – Nude","0.00","0.00","0.00","0.00","0","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-0.11","0.00","0.00","0.00","-0.11","0.00","0.00","0.00","0.00","0.00","0.00","-0.11","-0.11","0.00","0.00","1","0.00","0.00","0.00","0.00"
"07/10/2025","Amazon.se","B0C745GZ55","LC-NP-NUDE","Lillypads® Premium Nippelpads – DAS ORIGINAL – Selbstklebende Nipple Cover für Frauen – Wiederverwendbare Nipple Pads – 8cm – Klebe BH – Für Tiefen Rückenausschnitt – Nude","0.00","0.00","0.00","0.00","0","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-0.01","0.00","0.00","0.00","-0.01","0.00","0.00","0.00","0.00","0.00","0.00","-0.01","-0.01","0.00","0.00","0","0.00","0.00","0.00","0.00"
"07/10/2025","Amazon.pl","B0C745GZ55","LC-NP-NUDE","Lillypads® Premium Nippelpads – DAS ORIGINAL – Selbstklebende Nipple Cover für Frauen – Wiederverwendbare Nipple Pads – 8cm – Klebe BH – Für Tiefen Rückenausschnitt – Nude","0.00","0.00","0.00","0.00","0","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-0.02","0.00","0.00","0.00","-0.02","0.00","0.00","0.00","0.00","0.00","0.00","-0.02","-0.02","0.00","0.00","0","0.00","0.00","0.00","0.00"
"07/10/2025","Amazon.com.be","B0C743KWDS","LC-NP-TANNED","Lillypads® Premium Nippelpads – DAS ORIGINAL – Selbstklebende Nipple Cover für Frauen – Wiederverwendbare Nipple Pads – 8cm – Klebe BH – Für Tiefen Rückenausschnitt – Tanned","0.00","0.00","0.00","0.00","0","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-0.04","0.00","0.00","0.00","-0.04","0.00","0.00","0.00","0.00","0.00","0.00","-0.04","-0.04","0.00","0.00","0","0.00","0.00","0.00","0.00"
"07/10/2025","Amazon.es","B0C743KWDS","LC-NP-TANNED","Lillypads® Premium Nippelpads – DAS ORIGINAL – Selbstklebende Nipple Cover für Frauen – Wiederverwendbare Nipple Pads – 8cm – Klebe BH – Für Tiefen Rückenausschnitt – Tanned","0.00","0.00","0.00","0.00","0","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-0.03","0.00","0.00","0.00","-0.03","0.00","0.00","0.00","0.00","0.00","0.00","-0.03","-0.03","0.00","0.00","2","0.00","0.00","0.00","0.00"
"07/10/2025","Amazon.fr","B0C743KWDS","LC-NP-TANNED","Lillypads® Premium Nippelpads – DAS ORIGINAL – Selbstklebende Nipple Cover für Frauen – Wiederverwendbare Nipple Pads – 8cm – Klebe BH – Für Tiefen Rückenausschnitt – Tanned","0.00","0.00","0.00","0.00","0","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2","0.00","0.00","0.00","0.00"
